titulo,brand,pantalla_tamano_pulgadas,precio_min,precio_max,precio_mean
"Lenovo Yoga 7 14
83DJ006SSP",Lenovo,14.0,1332.0,1399.9,1365.95
"ASUS Vivobook 15 (F515)
F515EA-BQ3013W",ASUS,15.6,539.0,862.49,700.75
"HP 15s (2022)
15s-fq5028nf",HP,15.6,943.67,943.67,943.67
"MSI CreatorPro M16 HX C14V
C14VJG-211ES",MSI,16.0,1817.0,2244.99,2030.99
Acer TravelMate P214-55,Acer,14.0,645.84,1195.61,920.72
Lenovo V14,Lenovo,14.0,532.42,1076.72,804.57
"ASUS Chromebook Flip CB3401
CB3401FBA-LZ0157",ASUS,14.0,452.16,509.2,480.68
"HP 15s
15s-fq4051ns",HP,15.6,535.29,797.99,666.64
"MSI Creator M16 HX C14V
C14VEG-096ES",MSI,16.0,1564.92,1878.99,1721.95
Lenovo ThinkPad L14 G2,Lenovo,14.0,672.99,980.0,826.5
"ASUS Chromebook CX3402
CX3402CBA-EB0040",ASUS,14.0,379.0,399.0,389.0
"HP Pro x360 435 G10
725D4EA",HP,13.3,1145.39,1298.39,1221.89
"MSI Summit E16 AI Evo A1M
A1MTG-016ES",MSI,16.0,1399.95,1731.98,1565.97
Lenovo IdeaPad 3 14,Lenovo,14.0,480.14,706.95,593.55
ASUS ExpertBook B3 (B3402),ASUS,14.0,902.42,1870.37,1386.39
"HP 15 2024
15-fd0147ns",HP,15.6,505.0,575.19,540.1
"MSI Stealth 14 AI Studio A1V
A1VFG-034XES",MSI,14.0,1599.0,1698.99,1648.99
"Lenovo IdeaPad Slim 3 15 (2023)
83ER007BSP",Lenovo,15.6,679.0,679.0,679.0
"ASUS ChromeBook CR1
Flip CR1104FGA-NS0040",ASUS,11.6,299.99,470.97,385.48
HP 255 G7,HP,15.6,529.99,945.63,737.81
Lenovo ThinkPad P16s G3,Lenovo,16.0,1584.15,3010.98,2297.57
"ASUS ExpertBook B1 B1502
B1502CVA-BQ0883",ASUS,15.6,633.06,693.9,663.48
"HP ZBook Studio G11
98L30ET",HP,16.0,3121.56,3807.81,3464.68
Lenovo Yoga 7 14,Lenovo,14.0,1332.0,1399.9,1365.95
"ASUS ExpertBook B1 B1502
B1502CBA-NJ283X",ASUS,15.6,449.99,449.99,449.99
"HP Pavilion x360 14 2023
14-ek1035ns",HP,14.0,917.24,1029.0,973.12
"Lenovo ThinkPad P16s G3
21KS0002SP",Lenovo,16.0,2003.76,2003.76,2003.76
"ASUS Vivobook Go 15 E1504FA
E1504FA-NJ961W",ASUS,15.6,379.0,379.0,379.0
"HP 15 (2023)
15-fd0097ns",HP,15.6,601.0,738.15,669.58
"Lenovo IdeaPad Slim 3 15 2024
83EM007TSP",Lenovo,15.6,699.9,1199.0,949.45
"ASUS ChromeBook CX1400
CX1400CKA-EK0191",ASUS,14.0,275.8,338.0,306.9
"HP Victus 15 2023
15-fb0233nf",HP,15.6,873.42,1012.4,942.91
"Lenovo Legion 5 Pro 16 2024
83DF0070SP",Lenovo,16.0,2280.26,2280.26,2280.26
ASUS Vivobook Go L1504FA-BQ699X,ASUS,15.6,497.72,657.67,577.69
"HP Dragonfly G4
8A3S2EA",HP,13.5,1755.68,1842.55,1799.12
"Lenovo ThinkBook 16 G6
21KH0078PB",Lenovo,16.0,676.99,676.99,676.99
"ASUS TUF Gaming F15 (TUF507)
TUF507VU-LP237",ASUS,15.6,1080.5,1472.21,1276.36
"HP ZBook Studio G10
863J5ET",HP,16.0,1793.8,1793.8,1793.8
"Lenovo IdeaPad Gaming 3 15
82K2028BPB",Lenovo,15.6,745.99,1172.59,959.29
"ASUS ExpertBook B9
OLED B9403CVAR-KM0813X",ASUS,14.0,1176.47,1672.1,1424.28
"HP Omen Transcend 14
14-fb0007ns",HP,14.0,1999.0,1999.0,1999.0
"Lenovo V15 G4
82YU00TQSP",Lenovo,15.6,563.99,730.25,647.12
HP EliteBook 1040 G10,HP,14.0,1004.84,2174.0,1589.42
"Lenovo Legion 7 Pro 16 2024
83DE006WPB",Lenovo,16.0,4914.49,6062.98,5488.73
"HP Omen 17
17-ck1004ns",HP,17.3,1999.0,2732.98,2365.99
"Lenovo LOQ 15
82XV007DSP",Lenovo,15.6,799.0,1308.99,1053.99
"HP 15 2024
15-fd0148ns",HP,15.6,562.12,1288.91,925.52
"Lenovo ThinkPad X13 G5
21LW000PSP",Lenovo,13.3,1934.76,2346.76,2140.76
"HP 15 (2023)
15-fd0036ns",HP,15.6,375.36,477.95,426.65
"Lenovo ThinkPad P16s G2
21HK0055SP",Lenovo,16.0,1429.54,1491.3,1460.42
HP 255 G8,HP,15.6,309.22,741.81,525.51
"Lenovo V15 G4
82YU00TLSP",Lenovo,15.6,368.0,543.75,455.88
"HP 15 (2023)
155-fc0030ns",HP,15.6,507.84,612.15,560.0
Lenovo ThinkPad X12 G2,Lenovo,12.3,1868.52,2750.79,2309.65
"HP 250 G9
6S7B3EA",HP,15.6,409.95,456.92,433.44
"Lenovo ThinkPad X12
20UW005USP",Lenovo,12.3,1821.6,2176.69,1999.14
"HP 250 G9
6S7A9EA",HP,15.6,549.0,957.39,753.19
"Lenovo ThinkPad E16
21JN0001SP",Lenovo,16.0,830.76,1213.46,1022.11
"HP EliteBook Ultra 14 G1q
9M4E3AT",HP,14.0,1778.36,2444.49,2111.42
"Lenovo ThinkPad T14 G4 (2023)
21K3001GSP",Lenovo,14.0,1481.2,1759.99,1620.6
"HP ZBook Studio G11
98L20ET",HP,16.0,2585.2,3153.12,2869.16
"Lenovo Thinkbook 14 G7 (2024)
21MV001KSP",Lenovo,14.0,800.4,1044.4,922.4
HP Envy x360 15 2023,HP,15.6,1147.27,2663.42,1905.35
"Lenovo Yoga Pro 7 14 Gen 8
83DJ007DFR",Lenovo,14.5,1055.47,1105.06,1080.26
"HP Victus 16 2024
16-r0027ns",HP,16.1,1158.55,1295.89,1227.22
"Lenovo ThinkPad X13 G5
21LU000RSP",Lenovo,13.3,1594.36,2012.04,1803.2
Lenovo Thinkbook 15 G2,Lenovo,15.6,505.0,1911.64,1208.32
"Lenovo V15 G4
83A100GESP",Lenovo,15.6,463.68,532.89,498.28
"Lenovo ThinkPad P1 G5
21DDS1590J",Lenovo,16.0,2476.64,2927.12,2701.88
"Lenovo IdeaPad 5 15
15ITL05 (82FG01R1SP)",Lenovo,15.6,597.99,726.99,662.49
"HP 15 (2023)
15-fd0011ns",HP,15.6,646.88,946.12,796.5
"Microsoft Surface Laptop 5 13.5
R1S-00036",Microsoft,13.5,1478.27,1500.87,1489.57
"Acer Nitro 5 AN515-58
AN515-58-77YB",Acer,15.6,1199.0,1591.28,1395.14
"Lenovo ThinkPad X13 G5
21LW000RSP",Lenovo,13.3,1988.27,2020.34,2004.3
"MSI Cyborg 15 A13V
A13VF-1270XES",MSI,15.6,1030.16,1479.25,1254.7
"Dell Latitude 7440
8CDTF",Dell,14.0,852.84,1161.49,1007.16
"ASUS Zenbook Pro 16X OLED UX7602 (2023)
UX7602VI-MY034W",ASUS,16.0,2899.0,2987.0,2943.0
"Thomson Neo 17
N17I310-16BK512",Thomson,17.3,463.88,548.72,506.3
"PcCom Revolt 4070
S7839552",PcCom,17.3,2149.99,2149.99,2149.99
"LG UltraPC 16
16U70R-G.AP56B",LG,16.0,725.03,1609.99,1167.51
Chuwi GemiBook XPro,Chuwi,14.0,340.26,462.53,401.39
"Apple MacBook Air 15"" 2024 M3
Silver MRYQ3Y/A",Apple,15.3,1449.0,1709.0,1579.0
"Medion Erazer Crawler E30
E30e MD62699",Medion,15.6,749.0,924.86,836.93
"GigaByte G5 2023
MF5-52PT354SD",GigaByte,15.6,865.55,989.0,927.27
"Samsung Galaxy Chromebook Go
XE340XDA-KA1IT",Samsung,14.0,236.28,289.99,263.13
"Alurin Flex Advance 15,6
S7832150",Alurin,15.6,1400.99,1465.02,1433.01
"HP Pavilion 16 2024
16-ag0000ns",HP,16.0,932.99,949.0,941.0
"Microsoft Surface Laptop 5 13.5
i5 8 GB/512 GB negro R1T-00035",Microsoft,13.5,751.92,839.09,795.5
"Acer TravelMate P4 TMP416-53
TMP416-53-TCO-533E",Acer,16.0,924.6,1097.99,1011.3
"Lenovo V15 G4
83A1009LPB",Lenovo,15.6,745.49,778.84,762.16
MSI CreatorPro M16 HX C14V,MSI,16.0,1719.0,2244.99,1981.99
"Dell Latitude 3550 2024
3550-WPJ4N",Dell,15.6,913.54,996.49,955.01
"ASUS Vivobook 15 P1502
P1502CZA-EJ1729",ASUS,15.6,816.9,919.99,868.44
"PcCom Revolt 4070
C417",PcCom,17.3,1849.99,1849.99,1849.99
"LG Gram 16 (2022)
16Z90RE.AD75B",LG,16.0,2253.0,2349.0,2301.0
"Apple MacBook Pro 16"" M3 (2023)
Silver (MUW73Y/A)",Apple,16.2,4088.64,4981.45,4535.05
"Medion Erazer Scout E30
30038551",Medion,17.3,792.95,1138.26,965.61
"HP Victus 15 2023
15-fa1012ns",HP,15.6,1373.28,1399.0,1386.14
"Microsoft Surface Laptop Studio 2
B0CP61KV9F",Microsoft,14.4,4476.84,5636.5,5056.67
"Acer Extensa 15 EX215-55
EX215-55-308B",Acer,15.6,419.52,642.58,531.05
"Lenovo ThinkPad T16 G3
21MN00CBSP",Lenovo,16.0,1651.03,2028.99,1840.01
"MSI Cyborg 15 A12
A12VF-266XPL",MSI,15.6,993.99,1345.68,1169.84
Dell Latitude 7650,Dell,16.0,1468.32,2418.78,1943.55
"ASUS ExpertBook B1402 (2024)
B1402CVA-EB1261X",ASUS,14.0,757.59,923.99,840.79
"LG Gram 15 (2024)
15Z90S 8806091943378",LG,15.6,899.0,1200.6,1049.8
"Apple MacBook Pro 16"" M3 (2023)
Space Black (MRW23Y/A)",Apple,16.2,3209.99,3509.0,3359.49
Medion Akoya S15449,Medion,15.6,430.99,637.26,534.12
HP Pavilion Plus 14 2023,HP,14.0,1153.14,1803.77,1478.45
"Microsoft Surface Laptop Studio 2
ZRF-00012",Microsoft,14.4,1929.24,2266.91,2098.07
"Acer TravelMate Spin P4 TMP414RN-54
TMP414RN-54-TCO-78C0",Acer,14.0,1114.12,2013.39,1563.76
"Lenovo ThinkBook 14 G6
21KJ0003SP",Lenovo,14.0,794.02,922.99,858.5
"MSI Prestige 14 Evo
B13M-415ES",MSI,14.0,768.2,1053.95,911.08
Dell Precision 7560,Dell,15.6,3024.96,3572.49,3298.72
"ASUS Chromebook CX3402
CX3402CBA-MW0345",ASUS,14.0,449.0,787.4,618.2
"Apple MacBook Air 15"" 2023 M2
Midnight MQKW3Y/A",Apple,15.3,1259.0,1542.73,1400.87
"Medion Erazer Crawler E30
E30e MD 62592 ES",Medion,15.6,603.52,756.03,679.77
HP ZBook Firefly 16 G9,HP,16.0,1414.9,3985.87,2700.39
"Microsoft Surface Laptop 7 13.8
ZGV-00012",Microsoft,13.8,1126.08,1487.12,1306.6
"Acer Chromebook 514 CB514-3H
CB514-3H-R21Z",Acer,14.0,624.46,624.46,624.46
"Lenovo ThinkPad T16 G3
21MN0032SP",Lenovo,16.0,1368.04,1738.39,1553.22
"MSI Stealth A16 AI+ A3
A3XVGG-244ES",MSI,16.0,2596.17,2626.99,2611.58
Dell Vostro 3510,Dell,15.6,519.99,1136.03,828.01
"ASUS ExpertBook P1503
P1503CVA-S70673X",ASUS,15.6,624.68,818.4,721.54
"Apple MacBook Air 15"" 2024 M3
Midnight MC9L4Y/A",Apple,15.3,1774.68,2059.0,1916.84
"HP Omen Transcend 14
14-fb0000ns",HP,14.0,1909.0,1909.0,1909.0
"Microsoft Surface Laptop Go 3
XKQ-00023",Microsoft,12.45,989.0,1164.05,1076.53
"Acer TravelMate P214-52
P214-52-P6RE",Acer,14.0,430.99,436.46,433.73
Lenovo ThinkPad P1 G5,Lenovo,16.0,2476.64,5025.15,3750.89
"MSI Thin 15 B13
B13VE-2687XES",MSI,15.6,958.64,1061.99,1010.32
"Dell Latitude 15 5540
5540 07PTX",Dell,15.6,1206.99,1211.99,1209.49
ASUS Vivobook 16 (F1605),ASUS,16.0,599.0,988.11,793.56
"HP Envy x360 16 2024
16-ac0007ns",HP,16.0,1372.99,1399.0,1385.99
"Microsoft Surface Laptop 6 15
Core Ultra 5 16GB/512GB ZLH-00037 platino",Microsoft,15.0,1808.53,2354.89,2081.71
"Acer Aspire 3 A315-510
A315-510P-37MF",Acer,15.6,523.48,615.48,569.48
"Lenovo ThinkPad L13 G5
21LB0018SP",Lenovo,13.3,1138.96,1636.42,1387.69
"MSI Cyborg 14 A13
A13VE-213XES",MSI,14.0,968.76,1143.09,1055.92
Dell Latitude 3440 (2023),Dell,14.0,781.29,1681.23,1231.26
"ASUS BR1104F
BR1104FGA-NS0081XA",ASUS,11.6,297.28,425.74,361.51
"HP 15 2024
15-fd0144ns",HP,15.6,486.68,585.82,536.25
"Microsoft Surface Laptop 7 15
16GB/1TB negro ZYT-00037",Microsoft,15.0,1589.0,1927.99,1758.49
Acer Chromebook Spin 514 (CP514-3H),Acer,14.0,812.03,1081.99,947.01
"Lenovo ThinkPad X12 G2
21LK0026SP",Lenovo,12.3,1868.52,2237.99,2053.26
"MSI Crosshair 16 HX D14
D14VFKG-255XES",MSI,16.0,1399.0,1702.98,1550.99
Dell Latitude 7440,Dell,14.0,852.84,3532.29,2192.57
ASUS Vivobook 15 P1502,ASUS,15.6,589.13,1196.41,892.77
"HP ZBook Studio G10
62W26EA",HP,16.0,2579.0,2875.0,2727.0
"Microsoft Surface Laptop 6 15
Core Ultra 5 16GB/256GB ZLG-00037 platino",Microsoft,15.0,1505.54,2053.99,1779.76
Acer TravelMate P4 Spin TMP414RN-53,Acer,14.0,1091.12,1911.86,1501.49
"Lenovo V15 G4
82YU00TKSP",Lenovo,15.6,330.0,495.73,412.87
"MSI Cyborg 15 A13V
A13VE-841XES",MSI,15.6,999.0,1076.55,1037.78
"ASUS TUF Gaming A17 FA707
FA707VI-HX049",ASUS,17.3,1585.15,2181.31,1883.23
"HP Pavilion 16 2024
16-af0028ns",HP,16.0,1041.44,1463.07,1252.26
"Microsoft Surface Laptop Go
8GB/128GB Grey",Microsoft,12.4,948.86,962.0,955.43
Acer TravelMate P4 TMP416-53,Acer,16.0,924.6,1397.54,1161.07
"Lenovo ThinkPad X13s G1
21BX000WSP",Lenovo,13.3,1175.86,1212.78,1194.32
MSI Creator Z17 (A13),MSI,17.0,2364.49,4335.78,3350.13
"ASUS ExpertBook B1402 (2024)
B1402CVA-EB1908W",ASUS,14.0,710.23,857.63,783.93
"HP 17 2023
17-cp0027nf",HP,17.3,828.93,933.3,881.12
"Microsoft Surface Laptop Studio 2
Z1I-00012",Microsoft,14.4,2721.36,3198.25,2959.81
"Acer Extensa 15 EX215-55
EX215-55-72GP",Acer,15.6,533.6,857.45,695.53
"Lenovo V15 G4
83A100A6IX",Lenovo,15.6,695.64,809.49,752.57
"MSI Creator M16 HX C14V
C14VGG-070ES",MSI,16.0,1976.16,2296.5,2136.33
"ASUS ExpertBook B1 B1502
B1502CVA-BQ1174W",ASUS,15.6,486.68,583.75,535.22
HP EliteBook Ultra 14 G1q,HP,14.0,1417.7,2444.49,1931.09
"Microsoft Surface Laptop 7 13.8
ZXY-00012",Microsoft,13.8,1597.12,2156.99,1877.05
Acer Aspire 3 (A315-58),Acer,15.6,468.3,1470.31,969.3
"Lenovo V15 G4
82YU009XIX",Lenovo,15.6,408.73,432.0,420.37
MSI Creator Z16 HX Studio B13V,MSI,16.0,1839.0,3748.7,2793.85
"ASUS ExpertBook B5 B5604
B5604CMA-Q90294X",ASUS,16.0,1085.48,1305.0,1195.24
"HP ProBook 450 G10
7L6Z2ET",HP,15.6,968.34,1044.33,1006.34
"Microsoft Surface Laptop 6 13.5
Core Ultra 7 32GB/512GB negro ZJZ-00012",Microsoft,13.5,2187.76,3376.76,2782.26
Acer TravelMate P2 (TMP215-53),Acer,15.6,638.19,912.5,775.35
"Lenovo ThinkPad E16
21JN00AUSP",Lenovo,16.0,1119.0,1119.0,1119.0
"MSI Cyborg 14 A13
A13VE-023XPL",MSI,14.0,1243.99,1543.5,1393.74
"ASUS ExpertBook B1 B1502
B1502CVA-BQ2508X",ASUS,15.6,672.91,723.34,698.12
"HP Omen Transcend 14
14-fb0003ns",HP,14.0,2398.99,2698.0,2548.49
"Acer Predator Helios Neo 16 PHN16-72
PHN16-72-771KX",Acer,16.0,1548.99,1899.0,1723.99
"Lenovo Yoga Slim 7x 14
83ED002CSP",Lenovo,14.0,1519.0,1771.18,1645.09
MSI Summit E13 Flip Evo A13MT,MSI,13.4,1369.0,2249.65,1809.33
"ASUS ExpertBook B5 B5604
B5604CMA-Q90194X",ASUS,16.0,894.0,1075.11,984.55
"HP Pavilion 15 (2023)
15-eg3015ns",HP,15.6,728.12,807.38,767.75
Acer Extensa 15 EX215-54,Acer,15.6,500.5,837.79,669.14
"Lenovo IdeaPad Slim 3 15 (2023)
83EM005PFR",Lenovo,15.6,858.42,936.3,897.36
"MSI Summit E13 Flip Evo A13MT
A13MT-236ES",MSI,13.4,1499.6,1760.79,1630.19
"ASUS BR1104F
BR1104FGA-NS0080XA",ASUS,11.6,297.28,425.74,361.51
"HP 255 G10
HP 9B9V6EA",HP,15.6,504.16,609.9,557.03
Acer Chromebook 514 CB514-1W,Acer,14.0,427.99,974.7,701.35
"Lenovo V15 G4
82YU00GWSP",Lenovo,15.6,501.4,595.0,548.2
"MSI CreatorPro 16 AI Studio A1V
A1VMG-096ES",MSI,16.0,5065.85,5491.24,5278.55
"ASUS ExpertBook B3 (B3604)
B3604CMA-Q90268X",ASUS,16.0,971.78,1095.17,1033.47
"HP Pavilion Plus 14 2024
14-ew1018ns",HP,14.0,1274.99,1360.17,1317.58
Acer Chromebook Spin (CP514-2H),Acer,14.0,828.23,1097.18,962.71
Lenovo ThinkPad X1 Carbon G11 (2023),Lenovo,14.0,1799.0,3401.0,2600.0
"MSI Pulse 16 AI C1V
C1VGKG-064XES",MSI,16.0,2010.47,2161.99,2086.23
"ASUS ExpertBook B1 B1502
B1502CVA-BQ0076",ASUS,15.6,469.2,580.35,524.77
"HP 17 (2021)
17-cn0014ns",HP,17.3,567.64,707.3,637.47
"Acer TravelMate P4 TMP414-53-G2
TMP414-53-G2-TCO-78XA",Acer,14.0,1000.04,1175.26,1087.65
Lenovo ThinkBook 15 G4,Lenovo,15.6,774.09,2753.68,1763.88
"MSI Thin 15 B12U
B12UC-1621XPL",MSI,15.6,783.02,882.53,832.77
"ASUS ExpertBook B1 B1502
B1502CVA-BQ1634X",ASUS,15.6,649.19,686.84,668.02
"HP 255 G7
2D200EA",HP,15.6,942.72,945.63,944.17
"Acer TravelMate P4 (P416-52)
TMP416-52-TCO-55LD",Acer,16.0,874.0,1067.99,971.0
"Lenovo ThinkPad X13 2-in-1 G5
21LW000KSP",Lenovo,13.3,1538.24,1823.0,1680.62
"ASUS ChromeBook CR1
CR1104CGA-N00023",ASUS,11.6,247.87,368.9,308.38
HP Envy x360 16 2024,HP,16.0,1269.0,1876.45,1572.72
Acer TravelMate P4 (P416-52),Acer,16.0,874.0,1642.85,1258.42
"Lenovo ThinkBook 15 G4
21DL0005SP",Lenovo,15.6,774.09,833.18,803.63
"ASUS P15
P1512CEA-EJ0084X",ASUS,15.6,509.49,704.33,606.91
HP EliteBook 650 G9,HP,15.6,549.0,3226.72,1887.86
"Acer Aspire Go 15 AG15-31
AG15-311P-305W",Acer,15.6,388.24,448.26,418.25
"Lenovo Yoga Slim 7 Pro X 14
82TK0008SP",Lenovo,14.5,1584.41,2149.27,1866.84
"ASUS ChromeBook CR1
Flip CR1104FGA-NS0038",ASUS,11.6,300.02,321.19,310.61
HP ZBook Fury 16 G11,HP,16.0,2911.43,6101.4,4506.41
"Acer TravelMate P4 TMP414RN-53
NX.B3YEG.003",Acer,14.0,1191.31,1750.81,1471.06
Lenovo ThinkPad X12,Lenovo,12.3,1821.6,6581.81,4201.7
"HP Victus 15 2024
15-fa0046ns",HP,15.6,832.46,942.25,887.36
"Acer Aspire 3 A315-44
A315-44P-R9GX",Acer,15.6,582.51,595.82,589.16
"Lenovo ThinkPad T14s G6
21N10026SP",Lenovo,14.0,1475.68,1773.99,1624.84
"HP Pavilion x360 14 2023
14-dy1027ns",HP,14.0,774.82,948.57,861.7
Acer TravelMate P4 TMP416-41,Acer,16.0,809.6,962.0,885.8
"Lenovo V15 G2
82QY000VFR",Lenovo,15.6,306.22,468.13,387.18
HP ZBook Firefly 14 G10,HP,14.0,1534.65,3378.49,2456.57
"Acer Predator Triton Neo 16 PTN16-51
PTN16-51-76VF",Acer,16.0,1548.99,1675.0,1611.99
"Lenovo ThinkPad P1 G6 (2023)
21FV0010SP",Lenovo,16.0,2303.68,2708.99,2506.34
"HP 15s
15s-eq2104ns",HP,15.6,459.0,564.56,511.78
Acer TravelMate P4 TMP414RN-53,Acer,14.0,825.94,1858.99,1342.47
"Lenovo IdeaPad 3 15
15ITL6 (82H802FWSP)",Lenovo,15.6,511.0,541.83,526.41
"HP Dragonfly G4
7L815ET",HP,13.5,2089.0,2781.88,2435.44
"Lenovo V15 G2
ALC (82KD0008SP)",Lenovo,15.6,555.45,638.97,597.21
"HP ProBook 440 G10
816C4EA",HP,14.0,900.0,957.49,928.75
"Lenovo ThinkPad P16 G2
21FA000CSP",Lenovo,16.0,2616.48,3112.59,2864.53
"HP Omen 16 2023
16-wd0002ns",HP,16.1,1666.76,1703.95,1685.36
"Lenovo ThinkPad L13 Yoga G4
21FJ0005SP",Lenovo,13.3,1025.43,1443.54,1234.49
"HP 15s
15s-fq4037ns",HP,15.6,522.31,839.76,681.03
Lenovo Legion 5 16 2024,Lenovo,16.0,1680.95,2780.61,2230.78
"HP Pavilion x360 14 2023
S7827977",HP,14.0,979.0,979.0,979.0
"Lenovo ThinkPad P15s G2
20W7S06000",Lenovo,15.6,1428.76,1687.71,1558.24
"HP 15s (2021)
15s-eq2134ns",HP,15.6,504.0,642.91,573.45
"Lenovo IdeaPad Slim 3 15 (2023)
83E6003GFR",Lenovo,15.6,795.83,940.04,867.93
"HP Victus 15 2024
15-fb2010ns",HP,15.6,993.18,1145.18,1069.18
"Lenovo ThinkPad P14s G5
21G2000WSP",Lenovo,14.0,1645.88,1976.99,1811.43
HP ZBook Power G9,HP,15.6,1193.24,3758.06,2475.65
Lenovo ThinkPad P16,Lenovo,16.0,1947.02,5341.38,3644.2
"HP Pavilion 15 (2023)
15-eh3022ns",HP,15.6,646.88,705.99,676.43
"Lenovo ThinkBook 14 G6
21KJ0017SP",Lenovo,14.0,777.4,1006.19,891.8
HP ZBook Power G10,HP,15.6,1306.1,4836.28,3071.19
Lenovo Yoga Book 9 13 2024,Lenovo,13.3,1899.0,2734.99,2316.99
"HP Pavilion 15 (2023)
15-eg2005ns",HP,15.6,877.42,998.52,937.97
Lenovo ThinkBook 14 G4,Lenovo,14.0,909.0,1499.0,1204.0
"HP Omen 16 2023
16-u0005ns",HP,16.1,1836.57,2249.0,2042.78
"Lenovo LOQ 15
83JC001GFR",Lenovo,15.6,1192.49,1338.69,1265.59
"HP Victus 15 2023
15-fb0009ns",HP,15.6,698.28,827.74,763.01
"Lenovo 14e Chromebook
82M1000NSP",Lenovo,14.0,364.32,490.31,427.31
"HP Victus 16 2024
16-r0009ns 1TB",HP,16.1,1181.13,1318.99,1250.06
Lenovo ThinkPad P16s G2,Lenovo,16.0,1257.34,2944.61,2100.97
"HP 250 G9
6F205EA 16GB",HP,15.6,615.08,760.18,687.63
"Lenovo IdeaPad Slim 3 15 2024
83ER00ARPG",Lenovo,15.6,499.9,530.0,514.95
"HP Omen 16 2023
16-wd0008ns",HP,16.1,1445.0,1599.0,1522.0
"Lenovo IdeaPad Gaming 3 15
3i 15IMH05 (81Y400QH)",Lenovo,15.6,680.35,949.23,814.79
HP ZBook Firefly 16 G10,HP,16.0,1172.28,2397.96,1785.12
"Lenovo ThinkPad X13 G5
21LU000XSP",Lenovo,13.3,1878.64,2370.21,2124.43
"HP ProBook 450 G9
8A5L6EA",HP,15.6,992.99,1059.0,1025.99
"Lenovo LOQ 15
83GS007LPB",Lenovo,15.6,1071.99,1179.54,1125.76
"HP ZBook Power G10
862J6ET",HP,15.6,2164.26,2259.8,2212.03
"Lenovo LOQ 15 G9 2024
83JC0064PB",Lenovo,15.6,1162.49,1427.34,1294.91
"HP Pavilion Plus 16
16-ab1006ns",HP,16.0,1764.99,1799.0,1781.99
"Lenovo ThinkBook 16 G6
21KK002FPB",Lenovo,16.0,861.99,1416.1,1139.05
"HP Pavilion 16 2024
16-af0024ns",HP,16.0,855.6,1026.14,940.87
"Lenovo LOQ 15 G9 2024
83GS007SPB",Lenovo,15.6,1225.99,1225.99,1225.99
"HP 250 G10
725L1EA",HP,15.6,544.9,607.18,576.04
"Lenovo Legion 5 16 2024
83DG00ERPB",Lenovo,16.0,1824.99,2162.79,1993.89
Medion Erazer Beast X40 2024,Medion,17.3,3639.22,4248.0,3943.61
Dell Vostro 16 5630,Dell,16.0,1050.4,1050.4,1050.4
"Razer Blade 15 Studio Edition (2020)
RZ09-0330QEM3-R3E1",Razer,15.6,2593.56,2593.56,2593.56
Acer Predator Helios Neo 14 PHN14-51,Acer,14.5,2407.04,2407.04,2407.04
"MSI Prestige 16 EVO A13M
A13VF-089",MSI,16.0,1304.87,1304.87,1304.87
"HP EliteBook x360 1040 G10
7L813ET",HP,14.0,1118.78,1118.78,1118.78
"ASUS ProArt Studiobook 16 OLED H7600 (2022)
H7600ZW-L2011X",ASUS,16.0,10010.43,10010.43,10010.43
"Fujitsu LifeBook U7511
VFY:U7511MF5CMES",Fujitsu,15.6,2383.76,2383.76,2383.76
"LG Gram 16 (2022)
16U70Q-G.AR56B",LG,16.0,877.65,877.65,877.65
"Microsoft Surface Laptop Studio
i7 23GB/2TB (AIK-00037)",Microsoft,14.4,1999.0,3055.24,2527.12
"GigaByte G7
GD-51ES123SO",GigaByte,17.3,1240.0,1240.0,1240.0
"dynabook Satellite Pro C40-G
C40-G-11G",dynabook,14.0,522.68,741.81,632.24
Chuwi HeroBook Pro 14,Chuwi,14.1,249.89,324.1,287.0
"Samsung Galaxy Book 2 Pro 15
NP950XED-KA3FR",Samsung,15.6,1695.0,1695.0,1695.0
"PcCom Revolt 4070
PCCOMRVOLT81",PcCom,17.3,1800.0,1800.0,1800.0
"Lenovo IdeaPad Gaming 3 15
82K2028DPB",Lenovo,15.6,680.99,837.4,759.19
"Dell Latitude 3340 (2023)
3340-K8W15",Dell,13.3,727.8,727.8,727.8
Razer Blade 18 (2023),Razer,18.0,3756.41,10587.61,7172.01
Acer Predator Helios 16 PH16-72,Acer,16.0,2150.39,3371.44,2760.91
"MSI GF75-10S
GF75-10SER-479",MSI,17.3,1400.92,1423.89,1412.41
LG Gram 16 (2022),LG,16.0,877.65,2349.0,1613.33
"Microsoft Surface Laptop 5 13.5
i5 16GB/256GB Black",Microsoft,13.5,1588.0,1588.0,1588.0
"GigaByte Aorus 16X 2024
ASG-53FRC54SH",GigaByte,16.0,1835.78,2243.57,2039.68
Samsung Galaxy Book 5 Pro 360,Samsung,16.0,2332.3,2447.35,2389.82
"Lenovo LOQ 15 G9 2024
83JC0063PB",Lenovo,15.6,1131.99,1394.56,1263.28
"Dell Precision 7780
M6HGP",Dell,17.3,3980.22,3980.22,3980.22
"Acer Aspire 3 Spin 14 A3SP14-31
A3SP14-31PT-310V",Acer,14.0,608.68,608.68,608.68
"MSI Katana 15 B13
B13VFK-1437XPL",MSI,15.6,1244.99,1449.17,1347.08
"HP 250 G8
2W8Y5EA",HP,15.6,526.99,783.99,655.49
"ASUS Chromebook Flip CX3401
CX3401FBA-LZ0228",ASUS,14.0,670.23,884.45,777.34
