Título,Ofertas,Serie,Pantalla_Tamaño (pulgadas),Pantalla_Diagonal (cm),Pantalla_Tecnología,Pantalla_Luminosidad (cd/m²),Procesador,Disco_Duro_Tipo,Gráfica_Salida,Gráfica_Resolución externa,Conectividad_Lector de tarjetas,Comunicaciones_Conectividad,Comunicaciones_Versión Bluetooth,Cámara_Webcam,Cámara_Función de la cámara,Cámara_Resolución de la cámara,Teclado_Tipo de teclado,Teclado_Número de teclas,Teclado_Teclas adicionales,Sonido_Número de altavoces,Alimentación_Batería,Alimentación_Autonomía de la batería,Alimentación_Vatios-hora,Alimentación_Alimentación,Medidas y peso_Material de la carcasa,Medidas y peso_Diseño,Medidas y peso_Profundidad,Medidas y peso_Altura,Medidas y peso_Ancho,Medidas y peso_Peso,Otras características_Equipamiento,Otras características_Seguridad integrada,Otras características_Sensor,Otras características_Fecha de lanzamiento,Comunicaciones_Estándar wifi,Pantalla_Resolución de pantalla,Pantalla_Densidad de píxeles,Pantalla_Tasa de actualización de imagen,Procesador_Fabricante del procesador,Procesador_Tipo de procesador,Disco duro_Número de discos duros (instalados),Gráfica_Fabricante de la tarjeta gráfica,Gráfica_Memoria gráfica,Sistema operativo_Sistema operativo,Conectividad_Tipo de tarjetas compatibles,Sonido_Sistema de altavoces,Pantalla_Formato de imagen,Procesador_Nombre en clave del procesador,Procesador_Nivel de caché,Procesador_Caché,RAM_Memoria RAM,RAM_Tipo de RAM,RAM_Frecuencia de la memoria,Disco duro_Capacidad de memoria SSD,Teclado_Característica del teclado,Sonido_Potencia de altavoces,Alimentación_Número de celdas,Medidas y peso_Color,Otras características_Portátil configurable,Procesador_Número de núcleos del procesador,Procesador_Frecuencia de reloj,Procesador_Frecuencia turbo máx.,Procesador_Potencia máx. de diseño térmico (TDP),Gráfica_Tipo de memoria gráfica,Sistema operativo_Arquitectura bit,Pantalla_Tiempo de reacción,RAM_Extensión de memoria máxima,Gráfica_Tarjeta gráfica,Comunicaciones_Transmisión de datos,Almacenamiento_Lector óptico,Alimentación_Voltaje de salida,Alimentación_Intensidad de corriente,Otras características_Características especiales,Pantalla_Pantalla,Comunicaciones_Estándar LAN,Sonido_Modo de sonido HDMI,Alimentación_Capacidad de la batería,Otras características_Certificación,IA_Característica IA,RAM_Número de ranuras de memoria RAM,RAM_Ranura de memoria RAM instaladas,RAM_Configuración de memoria RAM,Procesador_Chipset,Otras características_Software incluido,Gráfica_GPU,Pantalla_Propiedades de la pantalla,IA_Función IA,IA_Procesador IA,Disco duro_Capacidad del disco duro,Otras características_Localización,Conectividad_Conexión,Otras características_Expansión de hardware,Otras características_Artículo incluido,Otras características_Características de la carcasa,Otras características_Certificado,Gráfica_Característica de la tarjeta gráfica,Tipo,Conectividad_Conexión frontal,Propiedades de la carcasa_Tipo de caja,Propiedades de la carcasa_Color,Medidas y peso_Alto,Propiedades de la carcasa_Material de la carcasa,Propiedades de la carcasa_Alimentación,Adecuado para,Procesador_Frecuencia del reloj,Procesador_Zócalo de CPU,Procesador_Número de hilos de ejecución,Procesador_TDP,Procesador_Chipset de la placa base,RAM_Número de ranuras para memoria RAM,Gráfica_Número de ranuras para PCIe,"Propiedades de la carcasa_Bahía interna de 2,5""","Propiedades de la carcasa_Bahía interna de 3,5""",Disco duro_Capacidad disco duro (TB),"Propiedades de la carcasa_Bahía externa de 5,25""",Otras características_Modo de sonido,Propiedades de la carcasa_Superficie del material,Disco duro_Capacidad disco duro (GB),"Propiedades de la carcasa_Bahía externa de 3,5""",Procesador_Procesadores compatibles,Precio_Min,Precio_Max,Precio_Mean,Categoria_General
"MSI Creator Z17 HX Studio A14V
A14VFT-276XES",1.0,MSI Creator,17.0,43.18,QHD+,,Intel Core i7-14700HX,PCIe SSD,HDMI,8K (8192 x 4608),integrado,"wifi, Bluetooth",Bluetooth 5.4,integrada,30 fps,,,,,4.0,,,90 Wh,240 W,,con tapa,26 cm,19 mm,"38,2 cm","2,4 kg","micrófono integrado, USB-C, altavoces estéreo, lector de tarjetas, webcam","lector de huellas digitales, Trusted Platform Module (TPM 2.0)",,2024.0,IEEE 802.11be,2.560 x 1.600 píxeles,,165 Hz,Intel,Intel Core i7,1.0,NVIDIA,8.192 MB / 8 GB,Free DOS,SD,,,Raptor Lake,L3,30 MB,32 GB RAM,DDR5,5.600 MHz,1.000 GB,teclado iluminado,4 x 2 W,4.0,plateado,,20.0,"3,9 GHz","5,5 GHz",55 W,GDDR6,,,96 GB,NVIDIA GeForce RTX 4060,ninguna,ninguno,,,teclado numérico,,,DTS-HD,,Certificación MIL-STD 810H,,2x SO-DIMM,2x SO-DIMM,2 x 16 GB,Intel HM770,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,2349.0,2349.0,2349.0,Otro
"ASUS Vivobook 15 (12th Gen F1504)
12th Gen F1504ZA-NJ429W",1.0,ASUS Vivobook,15.6,39.624,,,,SSD,HDMI 1.4,,,"Bluetooth, wifi",,integrada,compatible con HD,1280 x 720 píxeles,,,,,ión-litio,,42 Wh,,,con tapa,"23,25 cm",17 mm,"35,97 cm","1,7 kg","USB-C, altavoces estéreo, webcam",,,,,1.920 x 1.080 píxeles,,,,,,,,Windows 11 Home,,SonicMaster,16:9,,,,16 GB RAM,DDR4,,512 GB,,,3.0,gris,,,,,,,,,,,,,,,,panorámica,,,,,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,645.03,645.03,645.03,Otro
"ASUS Vivobook 15 (12th Gen F1504)
F1504ZA-NJ700",1.0,ASUS Vivobook,15.6,39.624,Full HD,,Intel Core i5-1235U,,HDMI 1.4,,,"wifi, Bluetooth",,integrada,compatible con HD,1280 x 720 píxeles,,,,,ión-litio,,42 Wh,,,con tapa,"23,25 cm",17 mm,"35,97 cm","1,7 kg","USB-C, altavoces estéreo, webcam",,,,,1.920 x 1.080 píxeles,,60 Hz,Intel,Intel Core i5,1.0,Intel,memoria compartida,sin sistema operativo,,SonicMaster,,Alder Lake-P,L3,12 MB,16 GB RAM,DDR4,,512 GB,,,3.0,plateado,,10.0,"0,9 GHz","4,4 GHz",15 W,,,,16 GB,Intel Iris Xe Graphics,ninguna,ninguno,,,teclado numérico,,,,,,,,,1 x 8 + 1 x 8 GB,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,549.0,549.0,549.0,Otro
"MSI Prestige 14 AI Studio
C1VFG-013ES",2.0,MSI Prestige,14.0,35.56,2.8K,,Intel Core Ultra 7 155H,SSD,HDMI 2.1,,,"wifi, Bluetooth, LAN",Bluetooth 5.4,,,1920 x 1080 píxeles,,,,,,,90 Wh,,,,"24,6 cm",19 mm,"31,3 cm","1,7 kg",USB-C,,,,IEEE 802.11be,2.880 x 1.800 píxeles,,60 Hz,Intel,Intel Core Ultra 7,1.0,NVIDIA,8.192 MB / 8 GB,Windows 11 Home,,,16:10,Meteor Lake,L3,24 MB,16 GB RAM,DDR5,,1.000 GB,teclado iluminado,,4.0,gris,,16.0,"3,8 GHz","4,8 GHz",28 W,GDDR6,64 Bit,,,NVIDIA GeForce RTX 4060,,ninguno,,,,,Gigabit-LAN,,,,,2x SO-DIMM,,2 x 8 GB,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,1699.0,1699.0,1699.0,Otro
"Lenovo ThinkPad X1 Carbon Gen 12
21KC005XSP",1.0,Lenovo ThinkPad,14.0,35.56,WUXGA,400.0,Intel Core Ultra 7 155U,,,,ninguno,"Bluetooth, wifi, NFC",Bluetooth 5.3,"integrada, 8.0 Mpx",compatible con HD,1920 x 1080 píxeles,,,,2.0,polímero de litio,,57 Wh,65 W,,,"21,4 cm",15 mm,"31,2 cm","1,09 kg","micrófono integrado, USB-C, TrackPoint / TouchStick / Pointing Stick, altavoces estéreo, webcam","bloqueo Kensington, Trusted Platform Module (TPM 2.0), tecnología antirrobo Intel, tapa webcam, lector de huellas digitales, reconocimiento de rostro",,2024.0,IEEE 802.11ax,1.920 x 1.200 píxeles,,60 Hz,Intel,Intel Core Ultra 7,1.0,Intel,memoria compartida,Windows 11 Professional,,,16:10,Meteor Lake,L3,12 MB,32 GB RAM,LPDDR5X,6.400 MHz,1.000 GB,teclado iluminado,2 x 1 W,3.0,negro,,12.0,"1,7 GHz","4,8 GHz",,,64 Bit,,32 GB,Intel Graphics,ninguna,ninguno,,,,,,,,,,,,,,"Lenovo Commercial Vantage, Lenovo View",,,,Intel AI Boost,,,,,cable de alimentación,,Epeat,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,2685.0,2685.0,2685.0,Otro
"MSI Creator Z17 HX Studio A14V
A14VFT-277ES",1.0,MSI Creator,17.0,43.18,QHD+,,Intel Core i9-14900HX,PCIe SSD,HDMI,8K (8192 x 4608),integrado,"wifi, Bluetooth",Bluetooth 5.4,integrada,30 fps,,,,,4.0,,,90 Wh,240 W,,con tapa,26 cm,19 mm,"38,2 cm","2,4 kg","micrófono integrado, USB-C, altavoces estéreo, lector de tarjetas, webcam","lector de huellas digitales, Trusted Platform Module (TPM 2.0)",,2024.0,IEEE 802.11be,2.560 x 1.600 píxeles,,165 Hz,Intel,Intel Core i9,1.0,NVIDIA,8.192 MB / 8 GB,Windows 11 Professional,SD,,,Raptor Lake,L3,36 MB,32 GB RAM,DDR5,5.600 MHz,1.000 GB,teclado iluminado,4 x 2 W,4.0,plateado,,24.0,"1,6 GHz","5,6 GHz",55 W,GDDR6,64 Bit,,96 GB,NVIDIA GeForce RTX 4060,ninguna,ninguno,,,teclado numérico,,,DTS-HD,,Certificación MIL-STD 810H,,2x SO-DIMM,2x SO-DIMM,2 x 16 GB,Intel HM770,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,2799.0,2799.0,2799.0,Otro
"MSI Stealth 14 AI Studio A1V
A1VGG-029XES",1.0,MSI Stealth,14.0,35.56,2.8K,,Intel Core Ultra 9 185H,SSD,HDMI 2.1,,,"wifi, Bluetooth",Bluetooth 5.4,,,,,,,2.0,,,72 Wh,240 W,,,"24,6 cm",,"31,5 cm","1,7 kg","USB-C, altavoces estéreo",,,,IEEE 802.11be,2.880 x 1.800 píxeles,,120 Hz,Intel,Intel Core Ultra 9,1.0,NVIDIA,8.192 MB / 8 GB,Free DOS,,,,Meteor Lake,L3,24 MB,32 GB RAM,DDR5,5.600 MHz,1.000 GB,teclado iluminado,2 x 2 W,4.0,azul,,16.0,"3,8 GHz","5,1 GHz",28 W,GDDR6,,,96 GB,NVIDIA GeForce RTX 4070,,ninguno,,,,,,,,,,2x SO-DIMM,,2 x 16 GB,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,2185.6,2185.6,2185.6,Otro
"ASUS BR1104F
BR1104FGA-NS0085XA",3.0,,11.6,29.464,HD Ready,250.0,Intel Processor N100,PCIe SSD,HDMI 1.4,,ninguno,"LAN, wifi, Bluetooth",Bluetooth 5.2,integrada,compatible con HD,,teclado tipo chicle,,,,polímero de litio,,50 Wh,45 W,,con tapa,"21,3 cm",21 mm,"29,7 cm","1,47 kg","micrófono integrado, webcam, USB-C","bloqueo Kensington, contraseña BIOS, Trusted Platform Module (TPM 2.0)",,2024.0,IEEE 802.11ax,1.366 x 768 píxeles,,,Intel,,1.0,Intel,memoria compartida,Windows 10 Professional,,,16:9,Alder Lake-N,L3,6 MB,4 GB RAM,LPDDR5,,128 GB,,,3.0,,sí,4.0,1 GHz,"3,4 GHz",15 W,,64 Bit,,,Intel UHD Graphics,ninguna,ninguno,20 V,"2,25 A",,,Gigabit-LAN,,,Certificación MIL-STD 810H,,,,,,Absolute Persistence,,"antiarañazos, convertible",,,,,,,,"resistente a salpicaduras, resistente a golpes",,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,324.36,342.99,333.68,Otro
"LG Gram Style 16
16Z90RS-G.AD74B",4.0,,,,WQXGA+,,Intel Core i7-1360P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.200 x 2.000 píxeles,,120 Hz,Intel,Intel Core i7,1.0,Intel,memoria compartida,Windows 11 Home,,,,Raptor Lake-P,L3,18 MB,32 GB RAM,LPDDR5,6.000 MHz,512 GB,teclado iluminado,,,blanco,,12.0,"2,2 GHz",5 GHz,28 W,,64 Bit,,32 GB,Intel Iris Xe Graphics,ninguna,ninguno,,,teclado numérico,,,,,,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,1610.7,1685.31,1648.01,Otro
Lenovo ThinkPad L13 2-in-1 Gen 5,4.0,,,,WUXGA,,Intel Core Ultra 5 125U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intel,Intel Core Ultra 5,1.0,Intel,memoria compartida,,,,,Meteor Lake,L3,12 MB,16 GB RAM,LPDDR5,,,,,,negro,,12.0,,"4,3 GHz",,,64 Bit,,,Intel Graphics,ninguna,ninguno,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,1397.18,1624.36,1510.77,Otro
"ASUS Vivobook 15 P1502
P1502CZA-EJ1728X",2.0,ASUS Vivobook,15.6,39.624,Full HD,220.0,Intel Core i3-1215U,,HDMI 1.4,,,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,,teclado tipo chicle,,,,ión-litio,,42 Wh,,,con tapa,"23,2 cm",20 mm,"35,9 cm","1,7 kg","micrófono integrado, USB-C, webcam","tapa webcam, contraseña BIOS, contraseña de usuario",,2023.0,IEEE 802.11ax,1.920 x 1.080 píxeles,,60 Hz,Intel,Intel Core i3,1.0,Intel,memoria compartida,Windows 11 Professional,,,16:9,Alder Lake-P,L3,10 MB,8 GB RAM,DDR4,,512 GB,,,3.0,azul,,6.0,"0,9 GHz","4,4 GHz",15 W,,64 Bit,,,Intel UHD Graphics,ninguna,ninguno,,,teclado numérico,,,,,,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,777.5,1040.93,909.22,Otro
"Lenovo Lenovo Yoga Slim 7 14 G9
83ED000MFR",2.0,Lenovo Yoga,14.0,35.56,,400.0,Qualcomm Snapdragon X Elite X1E-78-100,,,4K (4096 x 2304),,"Bluetooth, wifi",Bluetooth 5.3,,,,,,,,polímero de litio,10 h,,65 W,,,"22,1 cm",15 mm,"31,2 cm","1,39 kg, 1,49 kg",,"reconocimiento de rostro, lector de huellas digitales",sensor de huellas dactilares,2024.0,IEEE 802.11ax,,,90 Hz,Qualcomm,Qualcomm Snapdragon X Elite,1.0,Qualcomm,memoria compartida,Windows 11 Home,,,,,,42 MB,32 GB RAM,LPDDR5X,8.400 MHz,1.000 GB,,,,azul,,12.0,"3,4 GHz",,,,64 Bit,,,Qualcomm Adreno,,ninguno,,,,,,,,,,,,,,"Lenovo Now, Lenovo Utility, Lenovo Vantage, Intel Unison, Dolby Access",,,,,,,,,cargador,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,1762.31,2069.96,1916.13,Otro
"Lenovo Legion Pro 7i Gen 8 16""",2.0,Lenovo Legion,,,,,,SSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intel,Intel Core i9,,,,Windows 11 Home,,,,,L3,36 MB,,,,,,,,,,24.0,,,55 W,,64 Bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,3599.0,4299.0,3949.0,Otro
HP 240 G10,4.0,HP 240,14.0,35.56,Full HD,,,SSD,HDMI 1.4,,,"Bluetooth, wifi",Bluetooth 5.3,,,,,,,2.0,,,41 Wh,,,con tapa,"21,5 cm",17 mm,"32,4 cm","1,36 kg","USB-C, altavoces estéreo",,,,IEEE 802.11ax,1.920 x 1.080 píxeles,,,Intel,,,Intel,memoria compartida,Windows 11 Professional,,altavoces estéreo,16:9,Raptor Lake-U,L3,12 MB,,DDR4,,,,,3.0,,,10.0,,,15 W,,64 Bit,,,,ninguna,ninguno,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,611.19,1256.39,933.79,Otro
"ASUS ExpertBook P5 (P5405)
P5405CSA-NZ0258W",1.0,ASUS ExpertBook,14.0,35.56,WQXGA,400.0,Intel Core Ultra 5 226V,SSD,,,,"Bluetooth, wifi",Bluetooth 5.3,integrada,,,,,,,ión-litio,,63 Wh,65 W,aluminio,,"22,3 cm",16 mm,"31,2 cm","1,3 kg",,,,2024.0,,2.560 x 1.600 píxeles,,144 Hz,Intel,Intel Core Ultra 5,1.0,,memoria compartida,Windows 11 Home,,,16:10,Lunar Lake,L3,8 MB,16 GB RAM,LPDDR5,,512 GB,,,3.0,gris,,8.0,"2,1 GHz","4,5 GHz",17 W,,,,,Intel Arc Graphics 130V,,,20 V,"3,25 A",,,Gigabit-LAN,,,,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,1081.52,1081.52,1081.52,Otro
"ASUS ExpertBook P5 (P5405)
P5405CSA-NZ0101",1.0,ASUS ExpertBook,14.0,35.56,WQXGA,400.0,Intel Core Ultra 5 226V,SSD,,,,"Bluetooth, wifi",Bluetooth 5.3,integrada,,,,,,,ión-litio,,63 Wh,65 W,aluminio,,"22,3 cm",16 mm,"31,2 cm","1,3 kg",,,,2024.0,,2.560 x 1.600 píxeles,,144 Hz,Intel,Intel Core Ultra 5,1.0,,memoria compartida,Free DOS,,,16:10,Lunar Lake,L3,8 MB,16 GB RAM,LPDDR5,,512 GB,,,3.0,gris,,8.0,"2,1 GHz","4,5 GHz",17 W,,,,,Intel Arc Graphics 130V,,,20 V,"3,25 A",,,Gigabit-LAN,,,,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,952.27,952.27,952.27,Otro
"Acer Chromebook Spin 512 (R856)
R856LT-TCO-C2NK",1.0,Acer Spin,12.0,30.48,,,Intel Processor N100,memoria flash,,,integrado,"wifi, Bluetooth",Bluetooth 5.2,,,,,,,,,,,45 W,,,"22,9 cm",21 mm,"29,6 cm","1,5 kg","USB-C, lector de tarjetas",,,2023.0,,1.366 x 912 píxeles,,60 Hz,Intel,,1.0,Intel,memoria compartida,Chrome OS,MicroSD,,16:9,Alder Lake-N,L3,6 MB,8 GB RAM,LPDDR5,,64 GB,,,,negro,,4.0,1 GHz,"3,4 GHz",15 W,,,,,Intel UHD Graphics,"LTE, 4G",,"5 V, 9 V, 12 V, 15 V, 20 V",,,,,,,,,,,,,,,convertible,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,679.14,679.14,679.14,Otro
"PcCom Revolt 4090
B0CP64VXTX",1.0,PcCom Revolt,16.0,40.64,Full HD,,Intel Core i9-13900HX,,,,integrado,"wifi, Bluetooth, LAN",Bluetooth 5.0,integrada,,,,,,2.0,,,99 Wh,280 W,,con tapa,"26,7 cm",26 mm,36 cm,"2,4 kg","lector de tarjetas, micrófono integrado, webcam",bloqueo Kensington,,,,2.560 x 1.600 píxeles,,240 Hz,Intel,Intel Core i9,1.0,NVIDIA,16.384 MB / 16 GB,sin sistema operativo,SD,altavoces estéreo,,Raptor Lake,L3,36 MB,32 GB RAM,DDR4,3.200 MHz,2.000 GB,teclado iluminado,2 x 2 W,4.0,negro,,24.0,"1,8 GHz","5,4 GHz",55 W,GDDR6,,,64 GB,NVIDIA GeForce RTX 4090,ninguna,ninguno,,,teclado numérico,,Gigabit-LAN,,6450 mAh,,,2x SO-DIMM,2x SO-DIMM,2 x 16 GB,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,13158.52,13158.52,13158.52,Otro
"MSI Creator Z16 HX Studio B13V
B13VKTO-085ES",1.0,MSI Creator,16.0,40.64,WQXGA,,Intel Core i7-13700HX,SSD,,,integrado,"Bluetooth, wifi",Bluetooth 5.3,integrada,compatible con HD,,,,teclado numérico,4.0,,,90 Wh,,,con tapa,"25,6 cm",18 mm,"35,9 cm","2,35 kg","micrófono integrado, USB-C, altavoces estéreo, lector de tarjetas, webcam",,,2023.0,IEEE 802.11ax,2.560 x 1.600 píxeles,,,Intel,Intel Core i7,1.0,,8.192 MB / 8 GB,Windows 11 Professional,SD,Dynaudio,16:10,Raptor Lake,L3,30 MB,32 GB RAM,DDR5,,1.000 GB,teclado iluminado,,4.0,gris,,16.0,"1,5 GHz",5 GHz,55 W,GDDR6,64 Bit,,,NVIDIA RTX 3000 Ada,ninguna,ninguno,,,teclado numérico,,,DTS,,Certificación MIL-STD 810G,,,,2 x 16 GB,,,,,,,,,,,cable de alimentación,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,3112.5,3112.5,3112.5,Otro
"MSI Creator Z16 HX Studio B13V
B13VFTO-017FR",1.0,MSI Creator,16.0,40.64,WQXGA,,Intel Core i7-13700HX,,,,integrado,"Bluetooth, wifi",Bluetooth 5.3,integrada,compatible con HD,,,,teclado numérico,4.0,,,90 Wh,,,con tapa,"25,6 cm",18 mm,"35,9 cm","2,35 kg","micrófono integrado, USB-C, altavoces estéreo, lector de tarjetas, webcam",,,2023.0,IEEE 802.11ax,2.560 x 1.600 píxeles,,,Intel,Intel Core i7,1.0,NVIDIA,8.192 MB / 8 GB,Windows 11 Professional,SD,Dynaudio,16:10,Raptor Lake,L3,30 MB,32 GB RAM,DDR5,5.600 MHz,1.000 GB,teclado iluminado,,4.0,plateado,,16.0,"1,5 GHz",5 GHz,55 W,GDDR6,64 Bit,,64 GB,NVIDIA GeForce RTX 4060,,ninguno,,,,,,DTS,,Certificación MIL-STD 810G,,0x SO-DIMM,2x SO-DIMM,2 x 16 GB,,,,,,,,,,,cable de alimentación,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,3399.0,3399.0,3399.0,Otro
"MSI Stealth 14 AI Studio A1V
A1VGG-003FR",1.0,MSI Stealth,14.0,35.56,HD+,,Intel Core Ultra 9 185H,,HDMI 2.1,,,"wifi, Bluetooth",Bluetooth 5.4,,,,,,,2.0,,,72 Wh,240 W,,,"24,6 cm",,"31,5 cm","1,7 kg","USB-C, altavoces estéreo",,,,IEEE 802.11be,1.600 x 900 píxeles,,120 Hz,Intel,Intel Core Ultra 9,1.0,NVIDIA,8.192 MB / 8 GB,Windows 11 Home,,,16:9,Meteor Lake,L3,24 MB,32 GB RAM,DDR5,,1.000 GB,,2 x 2 W,4.0,negro,,16.0,"3,8 GHz","5,1 GHz",28 W,GDDR6,64 Bit,,,NVIDIA GeForce RTX 4070,,ninguno,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,2699.0,2699.0,2699.0,Otro
"ASUS Vivobook 15 P1502
P1502CZA-EJ1737X",1.0,ASUS Vivobook,15.6,39.624,Full HD,220.0,Intel Core i7-1255U,PCIe SSD,HDMI 1.4,,,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,,teclado tipo chicle,,,,ión-litio,,42 Wh,,,con tapa,"23,2 cm",20 mm,"35,9 cm","1,7 kg","micrófono integrado, USB-C, webcam","tapa webcam, contraseña BIOS, contraseña de usuario",,2023.0,IEEE 802.11ax,1.920 x 1.080 píxeles,,60 Hz,Intel,Intel Core i7,,Intel,memoria compartida,Windows 11 Professional,,,16:9,Alder Lake-P,L3,12 MB,16 GB RAM,DDR4,,512 GB,,,3.0,azul,,10.0,"1,2 GHz","4,7 GHz",15 W,,64 Bit,,,Intel Iris Xe Graphics,ninguna,ninguno,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,1196.41,1196.41,1196.41,Otro
"ASUS Vivobook 15 F1502
F1502ZA-EJ1117W",1.0,ASUS Vivobook,15.6,39.624,Full HD,,Intel Core i5-1235U,SSD,,,,,,,,,,,,,,,,,,,,,,,,,,2022.0,,1.920 x 1.080 píxeles,,60 Hz,Intel,Intel Core i5,1.0,Intel,memoria compartida,Windows 11 Home,,,16:9,Alder Lake-P,L3,12 MB,8 GB RAM,DDR4,,512 GB,,,,plateado,,10.0,"0,9 GHz","4,4 GHz",15 W,,64 Bit,,8 GB,Intel UHD Graphics,ninguna,ninguno,,,teclado numérico,,,,,,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,530.02,530.02,530.02,Otro
"ASUS Vivobook 15 (12th Gen F1504)
F1504VA-NJ510W",1.0,ASUS Vivobook,15.6,39.624,Full HD,,Intel Core i7-1355U,PCIe SSD,HDMI 1.4,,,"wifi, Bluetooth",,integrada,compatible con HD,1280 x 720 píxeles,,,,,ión-litio,,42 Wh,,,con tapa,"23,25 cm",17 mm,"35,97 cm","1,7 kg","USB-C, altavoces estéreo, webcam",,,,,1.920 x 1.080 píxeles,,60 Hz,Intel,Intel Core i7,1.0,Intel,memoria compartida,Windows 11 Home,,SonicMaster,16:9,Raptor Lake-U,L3,12 MB,16 GB RAM,DDR4,,1.000 GB,,,3.0,plateado,,10.0,"1,2 GHz",5 GHz,15 W,,64 Bit,,16 GB,Intel Iris Xe Graphics,ninguna,,,,teclado numérico,,,,,,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,749.9,749.9,749.9,Otro
"MSI Stealth 14 AI Studio A1V
A1VFG-032XES",1.0,MSI Stealth,14.0,35.56,2.8K,,Intel Core Ultra 9 185H,SSD,HDMI 2.1,,,"wifi, Bluetooth",Bluetooth 5.4,,,,,,,2.0,,,72 Wh,240 W,,,"24,6 cm",,"31,5 cm","1,7 kg","USB-C, altavoces estéreo",,,,IEEE 802.11be,2.880 x 1.800 píxeles,,120 Hz,Intel,Intel Core Ultra 9,1.0,NVIDIA,8.192 MB / 8 GB,Free DOS,,,,Meteor Lake,L3,24 MB,32 GB RAM,DDR5,5.600 MHz,1.000 GB,teclado iluminado,2 x 2 W,4.0,azul,,16.0,"3,8 GHz","5,1 GHz",28 W,GDDR6,,,96 GB,NVIDIA GeForce RTX 4060,,ninguno,,,,,,,,,,2x SO-DIMM,,2 x 16 GB,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,2864.95,2864.95,2864.95,Otro
"ASUS Vivobook 15 F1502
F1502ZA-EJ733",2.0,ASUS Vivobook,15.6,39.62,Full HD,,Intel Core i5-1235U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.920 x 1.080 píxeles,,,Intel,Intel Core i5,1.0,Intel,memoria compartida,sin sistema operativo,,,16:9,Alder Lake-P,L3,12 MB,8 GB RAM,DDR4,,512 GB,,,,azul,,10.0,"0,9 GHz","4,4 GHz",15 W,,,,16 GB,Intel Iris Xe Graphics,ninguna,ninguno,,,teclado numérico,,,,,,,1x SO-DIMM,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,577.0,598.95,587.98,Otro
